name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
CORONADO 35,TRIPP,1982,35.3,27.5,10.1,5.5,13000,4700,502,,SLOOP,14.58,279,30.9,1.66,1.04,3.50,0.05853,7.03,3.6,6.43,,,,,,,,,,,,,,,,,,,,,,,,
CORONADO 41,TRIPP,1987,40.5,31.8,11.3,6.3,19500,8500,638,,SLOOP,14.14,271,34.7,1.62,1.02,3.58,0.05542,7.56,4.0,6.75,,,,,,,,,,,,,,,,,,,,,,,,
CREALA 40,CREALOCK,1989,39.9,31.7,12.0,5.7,24000,9500,875,,CUTTER,16.89,336,39.7,1.61,1.08,3.33,0.04966,7.54,4.4,7.21,,,,,,,,,,,,,,,,,,,,,,,,
Creekmore,,1982,46.5,34.5,12.7,5.5,30000,11000,1050,,,17.47,326,41.2,1.58,1.08,3.66,0.04691,7.87,4.7,7.48,,,,,,,,,,,,,,,,,,,,,,,,
CROWN 34,DRIEHUYSEN,1967,34.0,27.9,10.3,5.9,10500,4800,550,FIN,SLOOP,18.41,216,24.4,1.82,1.13,3.30,0.09273,7.08,2.9,5.13,,,,,,,,,,,,,,,,,,,,,,,,
CS 36,WALL,1996,36.5,29.3,11.5,6.3,15500,6500,640,FIN KEEL,SLOOP,16.53,275,29.4,1.78,1.08,3.17,0.08338,7.25,3.3,5.52,,,,,,,,,,,,,,,,,,,,,,,,
CSY 44,HAMLIN,1992,44.0,36.3,13.3,6.5,33000,12000,906,DEEP KEEL,,14.15,308,42.1,1.60,1.01,3.31,0.04981,8.07,4.7,7.31,,,,,,,,,,,,,,,,,,,,,,,,
CT-38 SLOOP,WARICK,1980,37.5,30.6,11.4,6.5,16790,,647,,SLOOP,15.85,262,31.1,1.72,1.06,3.29,0.06924,7.41,3.6,6.05,,,,,,,,,,,,,,,,,,,,,,,,
CT-41,GARDEN,1995,40.7,31.7,12.2,6.0,28000,9000,780,FULL KEEL,KETCH,13.59,392,45.0,1.55,1.00,3.34,0.04093,7.54,4.9,7.96,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOM GAFF 25, ,1997,25.3,22.3,10.5,3.8,10000,3000,473,FULL KEEL,GAFF,16.36,403,29.1,1.89,1.09,2.41,0.08902,6.33,3.0,5.25,,,,,,,,,,,,,,,,,,,,,,,,
DANA 24,CREALOCK,1995,24.2,21.4,8.6,2.5,8000,3200,358,,SLOOP,14.37,364,31.6,1.66,1.05,2.81,0.05175,6.20,3.4,6.58,,,,,,,,,,,,,,,,,,,,,,,,
DEERFOOT 50,DASHEW,1969,50.0,47.3,13.4,6.8,31900,11900,1004,,SLOOP,16.04,135,32.3,1.64,1.05,3.73,0.07305,9.22,3.9,6.05,,,,,,,,,,,,,,,,,,,,,,,,
DEERFOOT 61,ROGEBERG,1971,61.5,56.2,14.4,6.2,45000,15300,1150,,SLOOP,14.61,113,34.5,1.57,1.01,4.27,0.06291,10.05,4.4,6.58,,,,,,,,,,,,,,,,,,,,,,,,
DEHLER 33,JUDEL/VROLIJK,1978,32.8,29.5,9.8,5.4,7600,3116,541,FIN KEEL,SLOOP,22.46,132,18.4,1.93,1.22,3.35,0.13732,7.28,2.3,4.17,,,,,,,,,,,,,,,,,,,,,,,,
DEHLER 41 CRUISING,JUDEL/VROLIJK,1970,40.8,36.3,12.8,6.5,19625,7275,883,FIN KEEL,SLOOP,19.49,183,27.0,1.84,1.14,3.19,0.10894,8.07,3.1,4.92,,,,,,,,,,,,,,,,,,,,,,,,
DEHLER 41 DS,JUDEL/VROLIJK,1980,41.9,36.3,12.9,6.4,18302,7277,883,FIN,FRACTIONAL SLOOP,20.42,171,24.7,1.89,1.16,3.25,0.12576,8.07,2.9,4.58,,,,,,,,,,,,,,,,,,,,,,,,
DEHLER29,JUDEL/VROLIJK,1971,28.8,25.8,8.7,5.2,7040,1980,452,FIN,SLOOP,19.75,183,22.8,1.76,1.17,3.31,0.08353,6.81,2.7,5.19,,,,,,,,,,,,,,,,,,,,,,,,
DELFT 25,SPONBERG,1992,25.5,22.5,8.0,3.0,5473,2010,340,CB,SLOOP,17.57,215,22.6,1.76,1.14,3.19,0.07327,6.36,2.7,5.42,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN # 921,TANTON,1968,66.8,63.9,16.8,6.5,53000,20000,1755,,SLOOP,19.99,91,29.5,1.73,1.11,3.98,0.10769,10.71,3.7,5.12,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN # 963,TANTON,1980,84.0,61.0,15.7,9.9,55000,,2315,FIN KEEL,YAWL,25.73,108,32.0,1.60,1.21,5.35,0.07008,10.47,4.4,6.30,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN NUMBER 37,WHITE,1975,43.0,32.0,12.0,6.3,26300,,957,FULL KEEL,CUTTER,17.38,358,42.1,1.56,1.08,3.58,0.04173,7.58,4.8,7.86,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN NUMBER 39,WHITE,1981,32.0,25.3,10.0,4.7,9821,,512,FULL KEEL,FRACTIONAL SLOOP,17.92,271,25.9,1.81,1.13,3.20,0.08309,6.74,3.0,5.38,,,,,,,,,,,,,,,,,,,,,,,,
DICKERSON 37,HAZEN,1986,37.0,34.0,11.5,4.5,15900,6000,675,,KETCH,17.14,181,27.2,1.77,1.09,3.22,0.08868,7.81,3.2,5.35,,,,,,,,,,,,,,,,,,,,,,,,
Dickerson 50,,1961,50.0,38.8,13.7,6.5,33900,14000,1162,,,17.82,259,38.1,1.64,1.08,3.65,0.05904,8.35,4.4,6.75,,,,,,,,,,,,,,,,,,,,,,,,
DIOGENES,S&S,1971,50.3,41.7,13.0,5.1,41663,,1217,"CB,WOOD",KETCH,16.27,257,47.8,1.45,1.05,3.87,0.03532,8.65,5.5,8.66,,,,,,,,,,,,,,,,,,,,,,,,
"DOLPHIN, WHITBREAD",HUMPHREYS,1984,68.7,64.0,17.3,,29867,,4487,,SLOOP,74.88,51,15.9,2.16,1.76,3.97,0.31563,10.72,2.2,3.00,,,,,,,,,,,,,,,,,,,,,,,,
Dorade,,1983,52.0,37.3,10.3,7.7,37800,0,1150,,,16.41,325,62.7,1.19,1.05,5.05,0.01350,8.18,7.6,13.44,,,,,,,,,,,,,,,,,,,,,,,,
DOUGLAS 32,BREWER,1989,32.9,24.5,9.6,4.5,11500,4300,500,FULL KEEL,CUTTER,15.76,349,32.3,1.65,1.07,3.43,0.05150,6.63,3.7,6.78,,,,,,,,,,,,,,,,,,,,,,,,
DOWNEASTER 32,,1982,32.0,25.9,11.0,4.6,15000,5500,560,FULL KEEL,CUTTER,14.79,385,34.3,1.73,1.04,2.91,0.06243,6.82,3.7,6.33,,,,,,,,,,,,,,,,,,,,,,,,
DOWNEASTER 45,,1993,45.0,35.4,14.0,5.9,39000,12000,1016,FULL KEEL,KETCH,14.20,392,46.9,1.60,1.00,3.21,0.04518,7.97,5.1,7.73,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 32,PONCIN,1971,32.7,27.2,10.9,4.1,7500,2650,569,,SLOOP,23.84,166,16.7,2.15,1.25,3.00,0.21099,6.99,2.0,3.44,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 32 CLASSIC,PONCIN,1978,32.7,27.2,10.8,5.6,7500,2650,602,MONO,SLOOP,25.22,166,16.9,2.13,1.27,3.03,0.20832,6.99,2.0,3.45,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 35,PONCIN,1983,35.1,27.9,11.4,5.9,10000,3100,667,,SLOOP,23.07,206,20.1,2.05,1.22,3.08,0.15579,7.08,2.4,4.03,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 36 CLASSIC,MORTAIN AND MAVRIKIOS,1984,36.3,30.1,12.3,5.9,13000,3528,564,"FIN KEEL, SPADE RUDDER",MASTHEAD SLOOP,16.38,213,22.2,2.02,1.08,2.95,0.14697,7.35,2.6,4.21,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 38,J&J,1961,38.2,32.3,12.6,6.8,14300,4630,860,FIN,SLOOP,23.44,189,22.2,2.01,1.22,3.03,0.15171,7.62,2.6,4.16,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 38,,1994,38.3,32.2,12.4,5.9,13591,4620,883,FIN,SLOOP,24.90,182,21.6,2.01,1.24,3.09,0.16067,7.60,2.5,4.03,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 41,PONCIN,1979,40.5,32.7,13.1,6.3,16538,5513,932,,SLOOP,23.06,211,23.7,1.99,1.21,3.09,0.13762,7.66,2.8,4.39,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 43 CC,MORTAIN & MAVRIKIOS,1984,42.7,35.3,14.1,6.3,18750,5280,781,"FIN,SPADE",SLOOP,17.77,190,22.8,2.05,1.10,3.03,0.17542,7.96,2.6,3.93,,,,,,,,,,,,,,,,,,,,,,,,
DUFOUR 45,PONCIN,1973,45.9,37.4,14.1,7.7,24250,8818,1151,,SLOOP,22.07,207,27.7,1.89,1.18,3.26,0.11580,8.19,3.2,4.84,,,,,,,,,,,,,,,,,,,,,,,,
DURBECK 46,SEATON,1978,46.6,36.0,13.7,5.5,38000,14000,1350,MONO LONG,WISHBONE-KETC,19.19,364,45.9,1.58,1.11,3.40,0.04395,8.04,5.1,7.82,,,,,,,,,,,,,,,,,,,,,,,,
"DUST DEVIL, EMPTY",HOLTROP,1985,60.0,56.0,18.0,5.5,18000,0,1200,"TWIN KEEL, EMPTY",SLOOP,28.06,46,10.4,2.66,1.28,3.33,0.81757,10.03,1.4,1.87,,,,,,,,,,,,,,,,,,,,,,,,
"DUST DEVIL, FULL",HOLTROP,1964,60.0,58.0,18.0,6.0,30000,12000,1200,"TWIN KEEL, FULL",SLOOP,19.97,69,16.9,2.24,1.13,3.33,0.33108,10.21,2.2,2.94,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE'S WINGS,MARTIN,1996,46.6,42.1,14.3,6.0,24000,,1005,WING KEEL,FRACTIONAL SLOOP,19.40,144,24.7,1.92,1.13,3.26,0.14354,8.69,2.9,4.35,,,,,,,,,,,,,,,,,,,,,,,,
EBB TIDE 36,PAPE,1986,36.1,29.5,11.3,5.9,26455,7937,674,STEEL,CUTTER       ,12.20,460,51.4,1.47,0.96,3.19,0.03041,7.28,5.4,9.12,,,,,,,,,,,,,,,,,,,,,,,,
ECLIPSE 43,DIXON,1973,42.5,36.1,14.0,4.8,23000,8750,790,,SLOOP,15.69,218,27.8,1.90,1.05,3.04,0.11476,8.05,3.2,4.85,,,,,,,,,,,,,,,,,,,,,,,,
EDEN 50,PERRY,1982,50.5,43.5,15.0,7.0,50840,20000,1322,,CUTTER,15.48,276,46.8,1.57,1.02,3.37,0.04741,8.84,5.2,7.62,,,,,,,,,,,,,,,,,,,,,,,,
EMPACHER 65,EMPACHER,1988,65.1,53.1,17.0,5.9,72000,32000,1916,,KETCH,17.80,215,45.1,1.58,1.06,3.83,0.05324,9.76,5.3,7.29,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR 37,,1976,37.5,30.5,11.5,4.5,20000,8000,860,,SLOOP,18.75,315,36.7,1.64,1.12,3.26,0.05402,7.40,4.1,6.86,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR 38, ,1968,38.3,32.0,12.5,4.9,17600,7000,718,,SLOOP,17.04,240,27.8,1.86,1.09,3.06,0.09911,7.58,3.2,5.14,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR 42, ,1963,42.2,33.3,13.0,5.0,24000,9000,788,,SLOOP,15.21,290,33.9,1.74,1.04,3.25,0.07398,7.73,3.8,5.98,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR 45,ENDEAVOUR DESIGN TEA,1977,45.8,37.2,13.2,5.0,26800,11300,866,,,15.53,232,33.5,1.71,1.04,3.47,0.07164,8.17,3.9,6.09,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR 52,ENDEAVOUR DESIGN TEA,1995,52.3,42.2,15.0,5.5,35000,14500,1110,,,16.67,208,32.5,1.77,1.06,3.49,0.08878,8.70,3.8,5.57,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR 54,ENDEAVOUR DESIGN TEA,1973,54.5,43.0,15.8,5.5,55000,13000,1018,,,11.31,309,46.4,1.61,0.92,3.45,0.05057,8.79,5.2,7.42,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR 59,ENDEAVOUR DESIGN TEA,1997,59.2,50.0,15.1,5.0,65000,18500,1522,,,15.13,232,51.2,1.45,1.01,3.92,0.03713,9.48,5.9,8.62,,,,,,,,,,,,,,,,,,,,,,,,
ENDURANCE 35,IBOLD,1964,35.2,26.7,11.0,5.0,18550,7700,736,,CUTTER,16.87,435,40.2,1.61,1.08,3.20,0.04414,6.92,4.4,7.53,,,,,,,,,,,,,,,,,,,,,,,,
ENDURANCE 38,IBOLD,1987,37.8,29.5,11.7,5.6,18000,6380,715,,SLOOP,16.72,313,32.9,1.73,1.08,3.23,0.06789,7.28,3.7,6.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSENADA 20,HESS,1975,20.0,17.5,7.1,4.0,1600,550,174,SWING KEEL,SLOOP,20.39,133,9.9,2.35,1.24,2.82,0.30417,5.61,1.2,2.56,,,,,,,,,,,,,,,,,,,,,,,,
ENSENADA 25,HANKINSON,1961,25.2,22.2,7.9,2.2,3000,1200,278,CB,SLOOP,21.44,122,12.8,2.12,1.24,3.19,0.20448,6.31,1.6,3.23,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 25,KING,1966,25.4,21.8,9.3,4.9,5000,2000,341,,SLOOP,18.71,215,17.3,2.10,1.16,2.73,0.16826,6.26,2.0,3.72,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 27,KING,1974,26.8,20.5,9.0,3.9,6600,2900,323,FIN,SLOOP,14.73,342,24.4,1.86,1.07,2.98,0.08793,6.07,2.7,5.11,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 29,KING,1974,28.6,22.0,9.0,4.3,8500,3900,404,FIN,SLOOP,15.57,356,29.3,1.71,1.08,3.18,0.05886,6.29,3.3,6.24,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 32   (1969 - 1978),KING,1970,31.6,24.0,9.7,4.9,8800,4000,452,FIN,SLOOP,17.02,284,25.1,1.82,1.11,3.26,0.08511,6.56,2.9,5.28,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 32  (1985 - 1989),KING,1974,32.5,25.9,10.9,6.1,9800,4200,496,FIN,SLOOP,17.39,252,22.6,1.97,1.11,2.98,0.12484,6.82,2.6,4.47,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 333,KING,1985,32.5,25.9,10.9,6.4,9800,4200,496,,SLOOP,17.39,252,22.6,1.97,1.11,2.98,0.12484,6.82,2.6,4.47,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 35,KING,1979,34.7,25.8,10.8,4.9,11600,5000,533,FIN,SLOOP,16.70,302,26.5,1.85,1.09,3.21,0.09259,6.81,3.0,5.18,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 350,KING,1963,34.9,29.0,11.3,6.2,13000,5200,595,,SLOOP,17.28,238,25.8,1.86,1.10,3.09,0.09852,7.22,3.0,5.06,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 38,KING,1971,37.8,30.5,12.0,6.5,14850,6200,709,FIN KEEL,SLOOP,18.84,234,25.6,1.89,1.13,3.15,0.10683,7.40,3.0,4.91,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 380 (PSC),KING,1988,37.8,30.5,12.0,6.5,15500,6300,709,FIN KEEL,SLOOP,18.31,244,26.8,1.86,1.12,3.15,0.10005,7.40,3.1,5.08,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 39M,KING,1991,39.0,30.0,11.3,6.0,21070,11570,733,,SLOOP,15.43,348,39.4,1.58,1.05,3.45,0.04580,7.34,4.4,7.43,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 41,KING,1990,41.3,29.2,10.7,5..9,17800,8200,715,FIN KEEL,SLOOP,16.84,319,35.7,1.59,1.08,3.86,0.04663,7.24,4.2,7.29,,,,,,,,,,,,,,,,,,,,,,,,
ERICSON 43,KING,1998,43.5,36.2,13.5,7.0,22000,10000,872,,SLOOP,17.84,207,27.7,1.86,1.10,3.22,0.10954,8.06,3.2,4.94,,,,,,,,,,,,,,,,,,,,,,,,
ETAO 39S,J&J,1980,39.6,33.5,12.7,6.5,15418,,835,FIN KEEL,FRACTIONAL SLOOP,21.65,183,22.9,1.97,1.18,3.12,0.14215,7.76,2.7,4.30,,,,,,,,,,,,,,,,,,,,,,,,
ETAP 38,HARLE/MORTAIN,1983,38.0,32.0,12.7,5.1,14110,4850,647,,SLOOP,17.79,192,21.9,2.03,1.11,2.99,0.16580,7.58,2.5,3.98,,,,,,,,,,,,,,,,,,,,,,,,
ETCHELLS, ,1972,30.5,22.0,6.9,4.5,3400,,291,,SLOOP,20.65,143,16.3,1.77,1.21,4.42,0.08608,6.29,2.2,4.75,,,,,,,,,,,,,,,,,,,,,,,,
EVASION 36,BENETEAU,1982,35.4,31.9,12.5,5.2,12320,4630,548,,SLOOP,16.49,169,20.0,2.09,1.09,2.83,0.19185,7.57,2.3,3.69,,,,,,,,,,,,,,,,,,,,,,,,
EXCALIBUR 36,VAN DE STADT,1974,36.0,26.2,9.9,5.9,14500,4500,600,,SLOOP,16.20,360,36.3,1.57,1.08,3.64,0.04179,6.86,4.2,7.57,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 53,ANDREWS,1965,53.6,46.6,14.0,9.0,20250,8900,99,FIN KEEL,SLOOP,2.14,89,19.1,1.99,0.54,3.83,0.18802,9.15,2.5,3.79,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESS 27,SCHUMACHER,1988,27.3,23.8,8.1,4.5,2450,1100,277,,SLOOP/FRACT  ,24.45,81,9.4,2.32,1.30,3.37,0.32238,6.54,1.3,2.59,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESS 37,SCHUMACHER,2000,37.1,30.0,11.5,7.2,11000,4500,638,FIN KEEL,SLOOP,20.71,182,20.5,2.00,1.18,3.23,0.15765,7.34,2.4,4.02,,,,,,,,,,,,,,,,,,,,,,,,
EYGHTHENE,HOLLAND,1988,24.0,20.5,9.7,,4300,2250,270,1/4 TON WINNER,MASTHEAD SLOOP,16.38,223,15.0,2.31,1.12,2.47,0.24767,6.07,1.7,3.10,,,,,,,,,,,,,,,,,,,,,,,,
FAIR WEATHER 39,PERRY,1993,38.9,34.3,11.9,6.0,19200,8400,722,EX WESTSAIL 39,CUTTER,16.17,212,30.7,1.72,1.07,3.27,0.07761,7.85,3.5,5.76,,,,,,,,,,,,,,,,,,,,,,,,
FALMOUTH CUTTER,PAINE,1968,30.1,29.0,10.3,6.1,22495,,900,FULL KEEL,GAFF CUTTER,18.14,412,53.1,1.41,1.10,2.92,0.02578,7.22,5.5,9.72,,,,,,,,,,,,,,,,,,,,,,,,
FALMOUTH CUTTER 22,HESS,1975,30.5,20.9,8.0,3.5,7400,2500,357,,CUTTER,15.09,362,30.1,1.59,1.07,3.81,0.04122,6.13,3.6,7.22,,,,,,,,,,,,,,,,,,,,,,,,
FARR 40,FARR,1991,40.6,35.3,13.0,,10960,5140,1050,,SLOOP,34.17,111,15.1,2.26,1.39,3.12,0.29593,7.96,1.9,2.99,,,,,,,,,,,,,,,,,,,,,,,,
FAST PASSAGE 39,GARDEN,1991,39.5,33.5,11.2,5.5,22000,7500,735,FIN KEEL,CUTTER,15.04,261,38.6,1.55,1.04,3.53,0.04525,7.76,4.4,7.46,,,,,,,,,,,,,,,,,,,,,,,,
FAST PASSAGE 40,GARDEN,1990,39.5,33.5,11.9,5.5,21500,7500,995,"LONG KEEL, SKEG RUDDER",CUTTER,20.67,255,34.8,1.66,1.15,3.32,0.06251,7.76,3.9,6.42,,,,,,,,,,,,,,,,,,,,,,,,
FCS 24,FOX,1993,24.3,21.7,8.0,1.5/5.5,4500,1900,250,WISHBONE,KETCH,14.72,197,19.4,1.87,1.08,3.04,0.10097,6.24,2.3,4.61,,,,,,,,,,,,,,,,,,,,,,,,
FCS 36,FOX,1971,36.0,29.0,12.0,5.5,16000,6000,559,,FRACTIONAL SLOOP,14.14,293,29.0,1.84,1.02,3.00,0.09389,7.22,3.2,5.24,,,,,,,,,,,,,,,,,,,,,,,,
FCS 45,FOX,2000,45.3,40.7,13.9,7.0,24403,8600,1133,,SLOOP,21.63,162,26.9,1.85,1.17,3.26,0.11371,8.55,3.2,4.87,,,,,,,,,,,,,,,,,,,,,,,,
FD-12,,1994,50.3,42.0,14.3,6.5,36000,14400,1100,,,16.21,217,36.2,1.68,1.05,3.52,0.06843,8.68,4.2,6.30,,,,,,,,,,,,,,,,,,,,,,,,
FEELING 286,HARLE/ALAIN,1999,28.5,24.4,10.0,5.5,5842,1742,462,FIN KEEL,SLOOP,22.86,180,16.4,2.15,1.24,2.85,0.20715,6.62,1.9,3.41,,,,,,,,,,,,,,,,,,,,,,,,
FEELING 326 D.I.,HARLE/MORTAIN,1998,32.0,26.8,11.1,2.2,8377,2866,546,CENTERBOARD,,21.25,194,18.5,2.11,1.20,2.88,0.17878,6.94,2.2,3.75,,,,,,,,,,,,,,,,,,,,,,,,
FEELING 346 DI,VATON,1973,34.2,28.5,11.3,2.3,10802,3704,677,CENTERBOARD,,22.24,208,21.9,1.98,1.21,3.03,0.14187,7.15,2.5,4.22,,,,,,,,,,,,,,,,,,,,,,,,
FEELING 364/1090,HARLE/MORTAIN,1973,36.4,28.1,11.0,5.8,11684,4409,764,FIN KEEL,SLOOP,23.82,235,24.2,1.88,1.23,3.31,0.10901,7.10,2.8,4.79,,,,,,,,,,,,,,,,,,,,,,,,
FEELING 415 DI,HARLE,1973,41.3,32.2,13.7,2.6,18519,5357,820,CB,SLOOP,18.81,248,25.1,2.00,1.12,3.01,0.13592,7.60,2.9,4.45,,,,,,,,,,,,,,,,,,,,,,,,
FEELING 486,HARLE/MORTAINE,1986,47.5,35.3,14.7,6.8,22046,5732,961,FIN KEEL,SLOOP,19.63,224,24.4,2.03,1.13,3.23,0.14862,7.96,2.9,4.29,,,,,,,,,,,,,,,,,,,,,,,,
FEELING 546,HOLLAND/WINCH,1975,55.5,42.1,17.1,8.2,39683,11905,1591,FIN KEEL,SLOOP,21.97,237,30.3,1.94,1.16,3.25,0.12296,8.69,3.5,4.80,,,,,,,,,,,,,,,,,,,,,,,,
FEELINGS 396 DI, ,1968,38.5,33.7,12.5,2.9,17680,6680,876,CB,SLOOP,20.73,206,26.9,1.86,1.16,3.08,0.10561,7.78,3.1,4.98,,,,,,,,,,,,,,,,,,,,,,,,
FINISTERRE,,1971,38.5,27.5,11.3,3.9,22330,,713,FIN,SLOOP,14.44,479,44.3,1.55,1.02,3.41,0.03693,7.03,4.9,8.27,,,,,,,,,,,,,,,,,,,,,,,,
FINNGULF 335,SODERGREN,1990,33.4,29.4,11.1,5.4,9020,3740,681,FIN KEEL,SLOOP,25.23,158,18.5,2.06,1.26,3.01,0.17878,7.27,2.2,3.75,,,,,,,,,,,,,,,,,,,,,,,,
FINNGULF 36,SODERGREN,1967,36.4,28.2,10.7,6.4,12125,5180,677,FIN KEEL,FRACTIONAL SLOOP,20.60,241,26.0,1.80,1.17,3.40,0.08560,7.12,3.1,5.38,,,,,,,,,,,,,,,,,,,,,,,,
FINNGULF 38,SODERGREN,1975,38.1,31.5,11.3,5.5,13228,5512,649,,SLOOP,18.63,189,24.2,1.85,1.13,3.37,0.10543,7.52,2.9,4.90,,,,,,,,,,,,,,,,,,,,,,,,
FINNGULF 391,SODERGREN,1970,39.2,30.2,11.6,6.3,14320,6060,930,FIN KEEL,FRACTIONAL SLOOP,25.32,232,25.7,1.85,1.25,3.38,0.10208,7.36,3.0,5.00,,,,,,,,,,,,,,,,,,,,,,,,
FINNGULF 44,SODERGREN,1983,43.7,36.8,12.0,7.2,22660,9039,1122,FIN KEEL,SLOOP,22.51,203,32.9,1.64,1.19,3.64,0.06321,8.13,3.9,6.39,,,,,,,,,,,,,,,,,,,,,,,,
FIREFLY,PAINE,1963,45.3,39.6,13.3,8.0,20500,,1000,FIN,SLOOP,21.44,147,24.4,1.88,1.17,3.41,0.13084,8.43,2.9,4.51,,,,,,,,,,,,,,,,,,,,,,,,
FIRST 21,FINOT,1995,21.0,19.9,8.2,2.3,2200,770,243,CB,SLOOP,23.04,125,10.2,2.44,1.28,2.56,0.38577,5.98,1.2,2.38,,,,,,,,,,,,,,,,,,,,,,,,
FIRST 265,BENETEAU,1987,26.5,24.1,9.5,4.1,4800,1450,380,,SLOOP,21.43,153,14.9,2.18,1.22,2.79,0.21432,6.58,1.8,3.31,,,,,,,,,,,,,,,,,,,,,,,,
FIRST 36S7,BERRET,1997,35.8,31.1,12.4,6.1,11684,0,660,,,20.58,173,19.4,2.11,1.17,2.89,0.18983,7.47,2.3,3.71,,,,,,,,,,,,,,,,,,,,,,,,
FIRST 45F5,FARR,1979,46.4,36.4,14.0,5.0,21500,8500,951,,,19.76,199,25.1,1.95,1.14,3.31,0.13057,8.08,3.0,4.55,,,,,,,,,,,,,,,,,,,,,,,,
FIRST 53F5,FARR,1968,53.2,43.3,14.7,8.0,30864,9480,1132,,,18.48,170,28.8,1.81,1.10,3.62,0.10203,8.82,3.5,5.18,,,,,,,,,,,,,,,,,,,,,,,,
FISHER 25,WYATT-FREEMAN,1987,25.4,21.0,9.3,3.7,10000,4500,230,,KETCH,7.96,482,35.5,1.67,0.86,2.73,0.04916,6.14,3.7,6.88,,,,,,,,,,,,,,,,,,,,,,,,
FISHER 34,WYATT-FREEMAN,1977,34.4,29.9,11.3,4.8,21000,9000,525,,KETCH,11.08,351,41.1,1.58,0.94,3.04,0.04580,7.33,4.4,7.43,,,,,,,,,,,,,,,,,,,,,,,,
FISHER 37,WYATT-FREEMAN,1971,37.2,32.4,11.3,5.5,30879,13230,995,,KETCH,16.24,405,55.8,1.39,1.05,3.29,0.02547,7.63,5.9,9.96,,,,,,,,,,,,,,,,,,,,,,,,
FLICKA 20,BINGHAM,1990,24.0,18.2,8.0,3.2,6000,1800,250,,SLOOP,12.15,444,29.1,1.70,1.00,3.00,0.05216,5.72,3.2,6.42,,,,,,,,,,,,,,,,,,,,,,,,
FORGUS 37,SAMUELSSON,1993,36.7,32.0,11.4,6.4,16665,7330,700,MONO FIN SKEG,SLOOP,17.23,227,30.2,1.73,1.09,3.22,0.07763,7.58,3.4,5.71,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA 41,BRIMBERRY / GARDEN,1980,40.7,31.7,12.2,6.0,28000,9000,780,FULL KEEL,KETCH,13.59,392,45.0,1.55,1.00,3.34,0.04093,7.54,4.9,7.96,,,,,,,,,,,,,,,,,,,,,,,,
"FORTUNA, WHITBREAD",VISIERS,1979,79.4,75.0,19.0,,66446,,9684,,KETCH,94.89,70,26.7,1.82,1.86,4.18,0.13953,11.60,3.5,4.56,,,,,,,,,,,,,,,,,,,,,,,,
FOX 50,FINOT,1962,50.0,50.0,15.1,6.1,18000,5500,1285,FIN + BULB,SLOOP,30.05,64,15.0,2.23,1.31,3.31,0.35807,9.48,1.9,2.77,,,,,,,,,,,,,,,,,,,,,,,,
FOXFIRE,PERRY,1969,56.0,48.0,15.0,9.0,28000,,1240,FIN,FRACTIONAL SLOOP,21.60,113,23.3,1.91,1.16,3.73,0.15243,9.28,2.9,4.25,,,,,,,,,,,,,,,,,,,,,,,,
