name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 46/50 MK II,ALDEN,1998,47.7,37.1,13.5,5.3,32000,13000,1022,MONO CB,SLOOP(?),16.29,280,38.4,1.65,1.05,3.53,0.05794,8.16,4.4,6.80,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 48,ALDEN,1997,48.8,37.1,13.5,7.5,32000,13000,1022,FIN KEEL,SLOOP,16.29,280,38.0,1.65,1.05,3.61,0.05794,8.16,4.4,6.80,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 50,ALDEN,1993,50.0,33.3,11.7,7.0,33000,12000,1123,,SLOOP,17.54,399,50.3,1.41,1.08,4.27,0.02670,7.73,5.9,9.79,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 50 MK II,ALDEN,1984,50.0,40.0,14.3,5.5,38500,16300,1170,KEEL + CB,,16.49,269,40.0,1.64,1.05,3.50,0.05705,8.47,4.6,6.90,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 52,ALDEN,1987,52.8,40.0,14.3,10.8,43400,16300,1300,,SLOOP,16.92,303,44.3,1.57,1.06,3.69,0.04641,8.47,5.1,7.65,,,,,,,,,,,,,,,,,,,,,,,,
ALDEN 54,ALDEN,1999,54.1,40.0,14.3,10.3,40000,16310,1275,,SLOOP,17.52,279,40.4,1.62,1.07,3.78,0.05465,8.47,4.7,7.05,,,,,,,,,,,,,,,,,,,,,,,,
ALERION EXPRESS 28,SCHUMACHER,1970,28.3,22.9,8.1,4.5,4400,2000,352,,SLOOP,21.03,164,17.1,1.91,1.21,3.49,0.12354,6.41,2.1,4.19,,,,,,,,,,,,,,,,,,,,,,,,
ALERION EXPRESS 38 SLOOP,SCHUMACHER,1965,38.4,30.1,10.8,5.8,10400,4200,639,MONO FIN SPADE,SLOOP,21.53,170,20.7,1.91,1.19,3.56,0.12326,7.35,2.6,4.49,,,,,,,,,,,,,,,,,,,,,,,,
ALLEGRA 25,BINGHAM,1977,25.3,22.1,8.3,3.6,7000,2500,382,,CUTTER,16.75,290,28.0,1.68,1.11,3.05,0.05892,6.30,3.1,6.11,,,,,,,,,,,,,,,,,,,,,,,,
ALLIED BANK,LAVRANOS,1965,60.0,59.0,19.7,13.4,25760,8800,2195,,SLOOP,40.43,56,12.7,2.58,1.44,3.05,0.69689,10.29,1.6,2.05,,,,,,,,,,,,,,,,,,,,,,,,
ALLIED MISTRESS,EDMUNDS,1968,38.7,29.9,12.0,4.5,20800,5600,700,FULL KEEL,KETCH,14.87,347,36.1,1.69,1.03,3.23,0.06009,7.33,4.0,6.55,,,,,,,,,,,,,,,,,,,,,,,,
ALLIED PRINCESS,EDMUNDS,1983,36.0,27.5,11.0,4.5,14400,5000,604,FULL KEEL,KETCH,16.39,309,30.4,1.75,1.08,3.27,0.06977,7.03,3.5,5.99,,,,,,,,,,,,,,,,,,,,,,,,
ALLIED SEABREEZE,MACLEAR,1973,34.5,24.0,10.3,3.9 / 7.2,13400,4000,550,"FULL KEEL, CB",YAWL,15.65,433,34.1,1.68,1.07,3.35,0.05401,6.56,3.8,6.72,,,,,,,,,,,,,,,,,,,,,,,,
ALLIED SEAWIND,GILMER,1972,31.6,25.5,10.4,4.5,14900,5800,555,FULL KEEL,KETCH,14.72,401,37.2,1.64,1.04,3.04,0.04941,6.77,4.0,7.04,,,,,,,,,,,,,,,,,,,,,,,,
AMATI,PERRY,1973,40.0,36.0,10.5,8.5,10000,,750,"FWD SWEPT, FIN KEEL",FRACTIONAL SLOOP,25.94,96,18.1,1.89,1.27,3.81,0.13910,8.04,2.4,4.20,,,,,,,,,,,,,,,,,,,,,,,,
AMEL MANGO,AMEL,1987,53.0,41.2,14.1,6.6,30860,13998,1292,FULL,KETCH,21.10,197,31.4,1.74,1.15,3.76,0.08212,8.60,3.8,5.74,,,,,,,,,,,,,,,,,,,,,,,,
"Amel Mango 53, fully loaded+A80",,1985,53.0,41.2,14.1,6.6,37480,12780,1292,,,18.54,239,38.2,1.63,1.10,3.76,0.05856,8.60,4.5,6.80,,,,,,,,,,,,,,,,,,,,,,,,
AMEL SUPER MARAMU,AMEL,1990,52.5,41.3,15.1,6.6,38840,12320,970,WING KEEL,KETCH,13.59,246,36.2,1.73,0.99,3.48,0.07328,8.61,4.2,6.13,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAS CUP 2000, ITALY",PETERSON,1984,78.4,66.3,12.8,13.1,55100,,3444,"FIN KEEL, BULB + FINS",SLOOP,38.23,84,40.8,1.30,1.38,6.13,0.03222,10.91,5.7,9.04,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAS CUP 2000, NZ",DAVIDSON,1995,83.3,66.3,13.5,13.1,55100,,3444,"FIN KEEL, BULB WITH FINS",SLOOP,38.23,84,37.3,1.37,1.38,6.17,0.03993,10.91,5.3,8.19,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAS' CUP, I",12 METER,2000,65.0,45.0,12.0,9.0,56000,24000,2000,OLD AC,SLOOP,21.96,274,62.0,1.21,1.15,5.42,0.01580,8.99,7.8,12.78,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICA'S CUP, II",IACC,1993,75.0,57.0,18.0,13.0,37000,16000,3000,NEWER AC,SLOOP,43.41,89,19.5,2.09,1.45,4.17,0.23705,10.12,2.6,3.48,,,,,,,,,,,,,,,,,,,,,,,,
ANDREWS 35,ANDREWS,1969,35.0,29.9,11.7,7.6,7700,3850,637,,SLOOP,26.22,129,14.3,2.29,1.29,2.99,0.28686,7.33,1.8,2.99,,,,,,,,,,,,,,,,,,,,,,,,
ANDREWS 38,ANDREWS YACHT D,1972,38.5,33.6,12.0,7.2,11000,4300,679,LONG KEEL,,22.04,129,17.7,2.09,1.20,3.21,0.19865,7.77,2.2,3.60,,,,,,,,,,,,,,,,,,,,,,,,
ANDREWS 70,ANDREWS YACHT D,1960,68.5,60.0,15.0,9.0,25348,0,1744,FIN + BULB,SLOOP,32.47,52,17.0,1.98,1.34,4.57,0.22256,10.38,2.4,3.52,,,,,,,,,,,,,,,,,,,,,,,,
ANDREWS 72,ANDREWS YACHT D,1981,71.5,62.5,16.0,9.0,38800,16000,2217,FIN + BULB,SLOOP,31.08,71,22.9,1.83,1.30,4.47,0.14451,10.59,3.1,4.40,,,,,,,,,,,,,,,,,,,,,,,,
Angantyr,,1987,60.7,45.0,17.3,5.3,70000,0,1647,,,15.59,343,49.1,1.62,1.02,3.52,0.05032,8.99,5.5,7.51,,,,,,,,,,,,,,,,,,,,,,,,
ANTONISA,KING,1994,124.0,90.0,25.5,9.9 / 15.5,350000,106000,6761,CB,SLOOP,21.91,214,72.4,1.40,1.09,4.86,0.03176,12.71,8.7,9.78,,,,,,,,,,,,,,,,,,,,,,,,
APBY LYNX,,1966,16.5,15.2,8.0,"14"" BU",2000,,200,CAT BOAT,GAFF,20.21,254,12.4,2.46,1.23,2.06,0.31606,5.22,1.3,2.61,,,,,,,,,,,,,,,,,,,,,,,,
APHRODITE 101,KJAERULFF,1971,32.6,26.2,7.0,5.5,6300,3150,453,FIN KEEL,SLOOP,21.31,156,25.9,1.47,1.21,4.66,0.03697,6.86,3.4,7.29,,,,,,,,,,,,,,,,,,,,,,,,
APHRODITE 33,BEYER,1972,33.9,28.9,10.8,5.3,11244,5070,517,,SLOOP,16.54,208,24.0,1.87,1.09,3.14,0.10628,7.20,2.8,4.83,,,,,,,,,,,,,,,,,,,,,,,,
APHRODITE 36,BEYER,1966,36.0,32.5,11.5,5.6,15873,6393,619,,SLOOP,15.74,206,28.3,1.77,1.06,3.13,0.08868,7.64,3.2,5.35,,,,,,,,,,,,,,,,,,,,,,,,
APHRODITE 42,BEYER,1986,41.7,33.8,12.1,6.1,20944,8157,1313,,KETCH-CUTTER ,27.76,242,32.3,1.70,1.27,3.45,0.07101,7.79,3.7,6.04,,,,,,,,,,,,,,,,,,,,,,,,
AQUARIUS 21,BARRETT,1994,21.0,18.3,7.9,4.0,1900,715,192,SWING KEEL,SLOOP,20.07,138,9.8,2.47,1.22,2.66,0.36352,5.73,1.2,2.42,,,,,,,,,,,,,,,,,,,,,,,,
AQUARIUS 23,BARRETT,1998,22.8,21.1,7.9,1.2 / 4,2280,815,247,,SLOOP,22.87,108,10.4,2.32,1.27,2.89,0.30974,6.16,1.3,2.62,,,,,,,,,,,,,,,,,,,,,,,,
ARAGOSA 35,BREWER,1986,34.8,28.5,11.2,5.4,15250,5400,631,,SLOOP,16.48,294,31.1,1.75,1.08,3.11,0.07151,7.15,3.5,5.93,,,,,,,,,,,,,,,,,,,,,,,,
Arwen II,,1980,56.0,45.0,14.3,8.0,39900,17900,1399,,,19.25,195,36.9,1.62,1.11,3.92,0.06235,8.99,4.4,6.60,,,,,,,,,,,,,,,,,,,,,,,,
AS-29,BOLGER,1985,29.0,29.0,8.0,2.0,7800,1420,363,"SHARPIE, BILGE BOARDS","GAFF, CAT YAWL",14.81,143,26.0,1.56,1.06,3.63,0.05216,7.22,3.2,6.42,,,,,,,,,,,,,,,,,,,,,,,,
A-SCOW,CIRA 1890,1963,38.0,38.0,6.5,0.2,1850,,500,CB,SLOOP,53.20,15,6.2,2.05,1.69,5.85,0.30901,8.26,1.1,2.45,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC,BURGESS,1981,30.6,21.5,6.5,4.8,4559,2835,376,FIN KEEL,SLOOP,21.94,205,24.0,1.52,1.23,4.71,0.03651,6.21,3.2,7.12,,,,,,,,,,,,,,,,,,,,,,,,
Avatar,,1964,52.0,37.0,13.8,7.8,44000,12500,1287,,,16.59,388,50.0,1.51,1.05,3.78,0.03662,8.15,5.6,8.57,,,,,,,,,,,,,,,,,,,,,,,,
AZZURA 310,SODERGREN,1978,30.1,25.6,10.0,7.2,4000,2000,584,FIN + BULB,SLOOP,37.18,106,10.7,2.44,1.47,3.01,0.38153,6.78,1.4,2.51,,,,,,,,,,,,,,,,,,,,,,,,
