id,Resistance,Comfort,LWL,BWL
8568,4262.3006,0.3259,10.9454,2.5349,-2255.6994000000013
8569,4157.3675,0.3247,10.9983,2.5352,-2336.6324999999997
8570,4157.3675,0.3247,10.9983,2.5352,-2336.6324999999997
8571,4277.1659,0.3284,10.9373,2.5211,-2290.834100000001
8572,4277.1659,0.3284,10.9373,2.5211,-2290.834100000001
8573,5470.386,0.3817,8.0291,2.628,-2163.6139999999996
8574,5470.386,0.3817,8.0291,2.628,-2163.6139999999996
8575,4154.1187,0.3247,11.0,2.5349,-2339.8813
8576,4154.1187,0.3247,11.0,2.5349,-2339.8813
8577,4285.5166,0.3285,10.9332,2.5211,-2284.4834
8578,4285.5166,0.3285,10.9332,2.5211,-2284.4834
8579,4277.0496,0.3284,10.9374,2.5211,-2290.9504000000006
8580,4277.0496,0.3284,10.9374,2.5211,-2290.9504000000006
8581,5477.714,0.3814,8.0333,2.629,-2150.286
8582,5477.714,0.3814,8.0333,2.629,-2150.286
8583,4286.2722,0.3287,10.9328,2.5201,-2287.7277999999997
8584,4286.2722,0.3287,10.9328,2.5201,-2287.7277999999997
8585,4271.2626,0.3107,10.9454,2.6276,-1942.737399999999
8586,4271.2626,0.3107,10.9454,2.6276,-1942.737399999999
8587,5412.0532,0.4012,8.0018,2.5352,-2611.9467999999997
8588,5412.0532,0.4012,8.0018,2.5352,-2611.9467999999997
8589,4191.7052,0.3251,10.9808,2.5349,-2310.2947999999997
8590,4191.7052,0.3251,10.9808,2.5349,-2310.2947999999997
8591,4156.1103,0.3248,10.999,2.5349,-2339.8896999999997
8592,4156.1103,0.3248,10.999,2.5349,-2339.8896999999997
8593,4397.6196,0.3121,10.8835,2.6263,-1844.3804
8594,4397.6196,0.3121,10.8835,2.6263,-1844.3804
8595,5544.2528,0.4013,8.0815,2.5228,-2481.7472
8596,5544.2528,0.4013,8.0815,2.5228,-2481.7472
8597,4201.8154,0.3252,10.9757,2.5349,-2302.1845999999996
8598,4201.8154,0.3252,10.9757,2.5349,-2302.1845999999996
8599,4196.721,0.3252,10.9783,2.5349,-2307.2790000000005
8600,4196.721,0.3252,10.9783,2.5349,-2307.2790000000005
8601,4154.886,0.3247,10.9996,2.5349,-2339.1139999999996
8602,4154.886,0.3247,10.9996,2.5349,-2339.1139999999996
8603,4519.6366,0.3284,10.8215,2.5353,-2048.363400000001
8604,4519.6366,0.3284,10.8215,2.5353,-2048.363400000001
8605,5687.9862,0.3776,8.1704,2.6275,-1864.0137999999997
8606,5687.9862,0.3776,8.1704,2.6275,-1864.0137999999997
8607,4211.2568,0.3092,10.9757,2.6332,-1972.743199999999
8608,4211.2568,0.3092,10.9757,2.6332,-1972.743199999999
8609,5411.4034,0.4024,8.0018,2.5296,-2636.5966
8610,5411.4034,0.4024,8.0018,2.5296,-2636.5966
8611,4159.0511,0.327,10.9968,2.5217,-2380.9489000000003
8612,4159.0511,0.327,10.9968,2.5217,-2380.9489000000003
8613,4273.9398,0.3261,10.9396,2.5343,-2248.0602
8614,4273.9398,0.3261,10.9396,2.5343,-2248.0602
8615,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8616,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8617,4287.593,0.3106,10.9373,2.6287,-1924.4070000000002
8618,4287.593,0.3106,10.9373,2.6287,-1924.4070000000002
8619,4269.1421,0.3259,10.942,2.5349,-2248.857900000001
8620,4269.1421,0.3259,10.942,2.5349,-2248.857900000001
8621,4154.2696,0.3247,10.9999,2.5349,-2339.7304000000004
8622,4154.2696,0.3247,10.9999,2.5349,-2339.7304000000004
8623,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8624,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8625,4160.5783,0.3247,10.9967,2.5357,-2333.4217
8626,4160.5783,0.3247,10.9967,2.5357,-2333.4217
8627,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8628,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8629,4262.3006,0.3259,10.9454,2.5349,-2255.6994000000013
8630,4262.3006,0.3259,10.9454,2.5349,-2255.6994000000013
8631,4519.6366,0.3284,10.8215,2.5353,-2048.363400000001
8632,4519.6366,0.3284,10.8215,2.5353,-2048.363400000001
8633,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8634,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8635,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8636,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8637,4159.0511,0.327,10.9968,2.5217,-2380.9489000000003
8638,4159.0511,0.327,10.9968,2.5217,-2380.9489000000003
8639,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8640,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8641,4270.2717,0.3282,10.9408,2.5217,-2293.7282999999998
8642,4270.2717,0.3282,10.9408,2.5217,-2293.7282999999998
8643,5472.3796,0.4031,8.0376,2.5211,-2589.6204
8644,5472.3796,0.4031,8.0376,2.5211,-2589.6204
8645,4305.6753,0.3109,10.9284,2.628,-1912.3247000000001
8646,4305.6753,0.3109,10.9284,2.628,-1912.3247000000001
8647,4262.2496,0.326,10.9454,2.5343,-2257.7504
8648,4262.2496,0.326,10.9454,2.5343,-2257.7504
8649,5422.9196,0.3824,8.0018,2.6285,-2225.0804
8650,5422.9196,0.3824,8.0018,2.6285,-2225.0804
8651,4155.4737,0.3271,10.9986,2.5211,-2386.5263000000004
8652,4155.4737,0.3271,10.9986,2.5211,-2386.5263000000004
8653,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8654,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8655,5585.1455,0.4009,8.108,2.5211,-2432.8545000000004
8656,5585.1455,0.4009,8.108,2.5211,-2432.8545000000004
8657,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8658,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8659,5555.2432,0.3986,8.0876,2.5349,-2416.7568
8660,5555.2432,0.3986,8.0876,2.5349,-2416.7568
8661,4164.7614,0.3272,10.9939,2.5211,-2379.2385999999997
8662,4164.7614,0.3272,10.9939,2.5211,-2379.2385999999997
8663,4278.3644,0.3284,10.9367,2.5211,-2289.6356000000005
8664,4278.3644,0.3284,10.9367,2.5211,-2289.6356000000005
8665,4159.0514,0.327,10.9968,2.5217,-2380.9485999999997
8666,4159.0514,0.327,10.9968,2.5217,-2380.9485999999997
8667,5472.3793,0.4031,8.0376,2.5211,-2589.6207000000004
8668,5472.3793,0.4031,8.0376,2.5211,-2589.6207000000004
8669,4156.1273,0.3247,10.999,2.535,-2337.8727
8670,4156.1273,0.3247,10.999,2.535,-2337.8727
8671,4285.4992,0.3285,10.9332,2.521,-2284.5008
8672,4285.4992,0.3285,10.9332,2.521,-2284.5008
8673,5634.2268,0.397,8.1401,2.5349,-2305.7731999999996
8674,5634.2268,0.397,8.1401,2.5349,-2305.7731999999996
8675,4446.9654,0.3123,10.86,2.628,-1799.0346
8676,4446.9654,0.3123,10.86,2.628,-1799.0346
8677,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8678,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8679,4153.3009,0.3271,10.9997,2.5211,-2388.6991
8680,4153.3009,0.3271,10.9997,2.5211,-2388.6991
8681,4166.8919,0.3249,10.9935,2.5349,-2331.1081000000004
8682,4166.8919,0.3249,10.9935,2.5349,-2331.1081000000004
8683,5548.8714,0.4018,8.0846,2.5204,-2487.1286
8684,5548.8714,0.4018,8.0846,2.5204,-2487.1286
8685,4322.8042,0.3265,10.9155,2.5349,-2207.1958000000004
8686,4322.8042,0.3265,10.9155,2.5349,-2207.1958000000004
8687,4327.3384,0.3266,10.9133,2.5348,-2204.6616000000004
8688,4327.3384,0.3266,10.9133,2.5348,-2204.6616000000004
8689,4157.728,0.3273,10.9974,2.5204,-2388.272
8690,4157.728,0.3273,10.9974,2.5204,-2388.272
8691,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8692,5422.8581,0.3825,8.0018,2.628,-2227.1418999999996
8693,4328.3624,0.3289,10.9121,2.5211,-2249.637600000001
8694,4328.3624,0.3289,10.9121,2.5211,-2249.637600000001
8695,4276.3813,0.3285,10.9377,2.5203,-2293.6187
8696,4276.3813,0.3285,10.9377,2.5203,-2293.6187
8697,5583.2998,0.3796,8.0987,2.628,-2008.7002000000002
8698,5583.2998,0.3796,8.0987,2.628,-2008.7002000000002
8699,4351.9584,0.3292,10.9006,2.5211,-2232.0415999999996
8700,4351.9584,0.3292,10.9006,2.5211,-2232.0415999999996
8701,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8702,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8703,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8704,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8705,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8706,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8707,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8708,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8709,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8710,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8711,4277.1659,0.3284,10.9373,2.5211,-2290.834100000001
8712,4277.1659,0.3284,10.9373,2.5211,-2290.834100000001
8713,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8714,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8715,4154.1187,0.3247,11.0,2.5349,-2339.8813
8716,4154.1187,0.3247,11.0,2.5349,-2339.8813
8717,4167.6215,0.3272,10.9924,2.5212,-2376.3785
8718,4167.6215,0.3272,10.9924,2.5212,-2376.3785
8719,5419.8146,0.4042,8.0071,2.5203,-2664.1854000000003
8720,5419.8146,0.4042,8.0071,2.5203,-2664.1854000000003
8721,4166.5112,0.3272,10.993,2.5211,-2377.4888
8722,4166.5112,0.3272,10.993,2.5211,-2377.4888
8723,4276.5451,0.3284,10.9376,2.5211,-2291.4549000000006
8724,4276.5451,0.3284,10.9376,2.5211,-2291.4549000000006
8725,5410.4257,0.4042,8.0018,2.5211,-2673.5743
8726,5410.4257,0.4042,8.0018,2.5211,-2673.5743
8727,4153.2281,0.3272,10.9997,2.5204,-2390.7718999999997
8728,4153.2281,0.3272,10.9997,2.5204,-2390.7718999999997
8729,4159.0289,0.3208,10.9986,2.5585,-2256.971099999999
8730,4159.0289,0.3208,10.9986,2.5585,-2256.971099999999
8731,4364.7373,0.3294,10.8944,2.5204,-2223.262700000001
8732,4364.7373,0.3294,10.8944,2.5204,-2223.262700000001
8733,5581.7096,0.4009,8.1058,2.5211,-2436.2904
8734,5581.7096,0.4009,8.1058,2.5211,-2436.2904
8735,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8736,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8737,4153.301,0.3271,10.9997,2.5211,-2388.6989999999996
8738,4153.301,0.3271,10.9997,2.5211,-2388.6989999999996
8739,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8740,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8741,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8742,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8743,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8744,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8745,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8746,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8747,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8748,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8749,4277.8802,0.3284,10.937,2.5212,-2290.1198000000013
8750,4277.8802,0.3284,10.937,2.5212,-2290.1198000000013
8751,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8752,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8753,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8754,4165.8941,0.3272,10.9933,2.5211,-2378.1058999999996
8755,4366.2889,0.3294,10.8936,2.5204,-2221.7111000000014
8756,4366.2889,0.3294,10.8936,2.5204,-2221.7111000000014
8757,4165.2809,0.3272,10.9936,2.5211,-2378.7191000000003
8758,4165.2809,0.3272,10.9936,2.5211,-2378.7191000000003
8759,4164.7614,0.3272,10.9939,2.5211,-2379.2385999999997
8760,4164.7614,0.3272,10.9939,2.5211,-2379.2385999999997
8761,4155.4737,0.3271,10.9986,2.5211,-2386.5263000000004
8762,4155.4737,0.3271,10.9986,2.5211,-2386.5263000000004
8763,4413.3601,0.3298,10.871,2.5212,-2182.6399
8764,4413.3601,0.3298,10.871,2.5212,-2182.6399
8765,4167.3497,0.3272,10.9926,2.5211,-2376.6503000000002
8766,4167.3497,0.3272,10.9926,2.5211,-2376.6503000000002
8767,4327.6545,0.3289,10.9125,2.5212,-2250.3455000000013
8768,4327.6545,0.3289,10.9125,2.5212,-2250.3455000000013
8769,4412.6846,0.3299,10.8713,2.5203,-2185.3154000000013
8770,4412.6846,0.3299,10.8713,2.5203,-2185.3154000000013
8771,5728.5134,0.3979,8.21,2.5204,-2229.4865999999993
8772,5728.5134,0.3979,8.21,2.5204,-2229.4865999999993
8773,4588.5658,0.3315,10.789,2.5211,-2041.4341999999997
8774,4588.5658,0.3315,10.789,2.5211,-2041.4341999999997
8775,4368.7185,0.3252,10.8936,2.5451,-2135.2815
8776,4368.7185,0.3252,10.8936,2.5451,-2135.2815
8777,4155.2695,0.3272,10.9987,2.5203,-2388.7304999999997
8778,4155.2695,0.3272,10.9987,2.5203,-2388.7304999999997
8779,4282.9076,0.3285,10.9345,2.5211,-2287.0924000000005
8780,4282.9076,0.3285,10.9345,2.5211,-2287.0924000000005
8781,4156.8695,0.3271,10.9979,2.5212,-2385.1305
8782,4156.8695,0.3271,10.9979,2.5212,-2385.1305
8783,4337.838,0.3292,10.9075,2.5203,-2246.1620000000003
8784,4337.838,0.3292,10.9075,2.5203,-2246.1620000000003
8785,4156.5625,0.3271,10.9981,2.5211,-2385.4375
8786,4156.5625,0.3271,10.9981,2.5211,-2385.4375
8787,4276.6853,0.3284,10.9376,2.5211,-2291.314700000001
8788,4276.6853,0.3284,10.9376,2.5211,-2291.314700000001
8789,4168.7029,0.3272,10.9919,2.5212,-2375.2971
8790,4168.7029,0.3272,10.9919,2.5212,-2375.2971
8791,4276.0608,0.3284,10.9379,2.5211,-2291.9392000000007
8792,4276.0608,0.3284,10.9379,2.5211,-2291.9392000000007
8793,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8794,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8795,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8796,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8797,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8798,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8799,4277.1659,0.3284,10.9373,2.5211,-2290.834100000001
8800,4277.1659,0.3284,10.9373,2.5211,-2290.834100000001
8801,4364.1386,0.3294,10.8947,2.5204,-2223.8614000000007
8802,4364.1386,0.3294,10.8947,2.5204,-2223.8614000000007
8803,4168.6692,0.3273,10.9919,2.5211,-2377.3307999999997
8804,4168.6692,0.3273,10.9919,2.5211,-2377.3307999999997
8805,5569.1261,0.4013,8.0976,2.5204,-2456.8738999999996
8806,5569.1261,0.4013,8.0976,2.5204,-2456.8738999999996
8807,4418.5543,0.33,10.8685,2.5203,-2181.4457
8808,4418.5543,0.33,10.8685,2.5203,-2181.4457
8809,4284.0062,0.3286,10.9339,2.5203,-2287.9938
8810,4284.0062,0.3286,10.9339,2.5203,-2287.9938
8811,4154.6079,0.3272,10.999,2.5203,-2389.3921
8812,4154.6079,0.3272,10.999,2.5203,-2389.3921
8813,4325.8359,0.329,10.9133,2.5203,-2254.1641
8814,4325.8359,0.329,10.9133,2.5203,-2254.1641
8815,4278.876,0.3284,10.9365,2.5211,-2289.1240000000007
8816,4278.876,0.3284,10.9365,2.5211,-2289.1240000000007
8817,4276.5597,0.3284,10.9376,2.5211,-2291.440300000001
8818,4276.5597,0.3284,10.9376,2.5211,-2291.440300000001
8819,4282.2855,0.3286,10.9348,2.5203,-2289.7145
8820,4282.2855,0.3286,10.9348,2.5203,-2289.7145
8821,4153.3014,0.3271,10.9997,2.5211,-2388.6985999999997
8822,4153.3014,0.3271,10.9997,2.5211,-2388.6985999999997
8823,4412.772,0.3298,10.8713,2.5211,-2183.228
8824,4412.772,0.3298,10.8713,2.5211,-2183.228
8825,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8826,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8827,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8828,4281.6785,0.3286,10.9351,2.5203,-2290.3215
8829,4326.3011,0.3291,10.9131,2.5203,-2255.6989000000003
8830,4326.3011,0.3291,10.9131,2.5203,-2255.6989000000003
8831,4364.2675,0.3294,10.8946,2.5204,-2223.732500000001
8832,4364.2675,0.3294,10.8946,2.5204,-2223.732500000001
8833,4410.2775,0.3298,10.8725,2.5211,-2185.7225
8834,4410.2775,0.3298,10.8725,2.5211,-2185.7225
8835,4284.0925,0.3286,10.9339,2.5203,-2287.9075000000003
8836,4284.0925,0.3286,10.9339,2.5203,-2287.9075000000003
8837,4296.096,0.3287,10.9279,2.5203,-2277.9040000000005
8838,4296.096,0.3287,10.9279,2.5203,-2277.9040000000005
8839,5473.905,0.4032,8.0385,2.5204,-2590.0950000000003
8840,5473.905,0.4032,8.0385,2.5204,-2590.0950000000003
8841,4281.0513,0.3284,10.9354,2.5211,-2286.948700000001
8842,4281.0513,0.3284,10.9354,2.5211,-2286.948700000001
8843,4155.5136,0.3273,10.9986,2.5203,-2390.4864
8844,4155.5136,0.3273,10.9986,2.5203,-2390.4864
8845,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8846,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8847,4276.5597,0.3284,10.9376,2.5211,-2291.440300000001
8848,4276.5597,0.3284,10.9376,2.5211,-2291.440300000001
8849,4284.0062,0.3286,10.9339,2.5203,-2287.9938
8850,4284.0062,0.3286,10.9339,2.5203,-2287.9938
8851,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8852,4412.7725,0.3298,10.8713,2.5211,-2183.2275
8853,4410.2775,0.3298,10.8725,2.5211,-2185.7225
8854,4410.2775,0.3298,10.8725,2.5211,-2185.7225
8855,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8856,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8857,4276.5597,0.3284,10.9376,2.5211,-2291.440300000001
8858,4276.5597,0.3284,10.9376,2.5211,-2291.440300000001
8859,4296.096,0.3287,10.9279,2.5203,-2277.9040000000005
8860,4296.096,0.3287,10.9279,2.5203,-2277.9040000000005
8861,4327.7858,0.3291,10.9124,2.5203,-2254.2142000000003
8862,4327.7858,0.3291,10.9124,2.5203,-2254.2142000000003
8863,4295.8798,0.3287,10.928,2.5203,-2278.1202000000003
8864,4295.8798,0.3287,10.928,2.5203,-2278.1202000000003
8865,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8866,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8867,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8868,4327.5678,0.3291,10.9125,2.5203,-2254.4322
8869,4280.5693,0.3284,10.9356,2.5211,-2287.430700000001
8870,4280.5693,0.3284,10.9356,2.5211,-2287.430700000001
8871,4296.5799,0.3287,10.9277,2.5203,-2277.4201000000003
8872,4296.5799,0.3287,10.9277,2.5203,-2277.4201000000003
8873,4412.8725,0.3299,10.8712,2.5203,-2185.1275000000005
8874,4412.8725,0.3299,10.8712,2.5203,-2185.1275000000005
8875,4363.9084,0.3293,10.8948,2.5212,-2222.0915999999997
8876,4363.9084,0.3293,10.8948,2.5212,-2222.0915999999997
8877,4410.2195,0.3298,10.8725,2.5211,-2185.7805
8878,4410.2195,0.3298,10.8725,2.5211,-2185.7805
8879,4412.8305,0.3298,10.8713,2.5211,-2183.1695
8880,4412.8305,0.3298,10.8713,2.5211,-2183.1695
8881,4410.6428,0.3298,10.8723,2.5212,-2185.3572000000004
8882,4410.6428,0.3298,10.8723,2.5212,-2185.3572000000004
8883,4622.256,0.332,10.7736,2.5203,-2017.7439999999997
8884,4622.256,0.332,10.7736,2.5203,-2017.7439999999997
8885,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8886,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8887,4397.2005,0.3296,10.8788,2.5211,-2194.7995
8888,4397.2005,0.3296,10.8788,2.5211,-2194.7995
8889,5556.5279,0.4016,8.0895,2.5204,-2475.4721
8890,5556.5279,0.4016,8.0895,2.5204,-2475.4721
8891,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8892,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8893,4284.0062,0.3286,10.9339,2.5203,-2287.9938
8894,4284.0062,0.3286,10.9339,2.5203,-2287.9938
8895,4327.7858,0.3291,10.9124,2.5203,-2254.2142000000003
8896,4327.7858,0.3291,10.9124,2.5203,-2254.2142000000003
8897,4366.8568,0.3293,10.8934,2.5211,-2219.1432000000004
8898,4366.8568,0.3293,10.8934,2.5211,-2219.1432000000004
8899,4409.6457,0.3299,10.8727,2.5204,-2188.354300000001
8900,4409.6457,0.3299,10.8727,2.5204,-2188.354300000001
8901,4153.2258,0.3272,10.9997,2.5204,-2390.7742
8902,4153.2258,0.3272,10.9997,2.5204,-2390.7742
8903,4296.1729,0.3286,10.9279,2.5211,-2275.8271000000004
8904,4296.1729,0.3286,10.9279,2.5211,-2275.8271000000004
8905,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8906,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8907,4334.5311,0.3291,10.9091,2.5203,-2247.4689
8908,4334.5311,0.3291,10.9091,2.5203,-2247.4689
8909,4366.7022,0.3294,10.8934,2.5204,-2221.297800000001
8910,4366.7022,0.3294,10.8934,2.5204,-2221.297800000001
8911,5475.0996,0.4032,8.0392,2.5204,-2588.9004000000004
8912,5475.0996,0.4032,8.0392,2.5204,-2588.9004000000004
8913,4366.8941,0.3293,10.8934,2.5215,-2219.1058999999996
8914,4366.8941,0.3293,10.8934,2.5215,-2219.1058999999996
8915,4276.0437,0.3293,10.9376,2.5158,-2309.9563
8916,4276.0437,0.3293,10.9376,2.5158,-2309.9563
8917,4155.2695,0.3272,10.9987,2.5203,-2388.7304999999997
8918,4155.2695,0.3272,10.9987,2.5203,-2388.7304999999997
8919,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8920,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8921,4364.0133,0.3294,10.8947,2.5204,-2223.9867000000013
8922,4364.0133,0.3294,10.8947,2.5204,-2223.9867000000013
8923,4366.2824,0.3295,10.8936,2.5203,-2223.7176
8924,4366.2824,0.3295,10.8936,2.5203,-2223.7176
8925,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8926,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8927,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8928,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8929,4423.2177,0.33,10.8663,2.5204,-2176.7823
8930,4423.2177,0.33,10.8663,2.5204,-2176.7823
8931,4152.8976,0.3271,10.9999,2.5211,-2389.1023999999998
8932,4152.8976,0.3271,10.9999,2.5211,-2389.1023999999998
8933,4396.8851,0.3296,10.8789,2.5211,-2195.1148999999996
8934,4396.8851,0.3296,10.8789,2.5211,-2195.1148999999996
8935,4410.536,0.3298,10.8724,2.5211,-2185.464
8936,4410.536,0.3298,10.8724,2.5211,-2185.464
8937,4397.2005,0.3296,10.8788,2.5211,-2194.7995
8938,4397.2005,0.3296,10.8788,2.5211,-2194.7995
8939,4412.4007,0.3298,10.8715,2.5211,-2183.5993
8940,4412.4007,0.3298,10.8715,2.5211,-2183.5993
8941,4412.8725,0.3299,10.8712,2.5203,-2185.1275000000005
8942,4412.8725,0.3299,10.8712,2.5203,-2185.1275000000005
8943,4366.7022,0.3294,10.8934,2.5204,-2221.297800000001
8944,4366.7022,0.3294,10.8934,2.5204,-2221.297800000001
8945,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8946,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8947,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8948,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8949,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8950,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8951,4157.285,0.3273,10.9977,2.5204,-2388.715
8952,4157.285,0.3273,10.9977,2.5204,-2388.715
8953,4396.1346,0.3296,10.8793,2.5211,-2195.8653999999997
8954,4396.1346,0.3296,10.8793,2.5211,-2195.8653999999997
8955,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8956,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8957,4397.2005,0.3296,10.8788,2.5211,-2194.7995
8958,4397.2005,0.3296,10.8788,2.5211,-2194.7995
8959,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8960,4364.0068,0.3294,10.8947,2.5203,-2223.993200000001
8961,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8962,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8963,4155.2695,0.3272,10.9987,2.5203,-2388.7304999999997
8964,4155.2695,0.3272,10.9987,2.5203,-2388.7304999999997
8965,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8966,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8967,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8968,4276.0805,0.3292,10.9376,2.5162,-2307.9195
8969,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8970,4622.6409,0.332,10.7734,2.5203,-2017.3590999999997
8971,4410.2093,0.3298,10.8725,2.5211,-2185.7906999999996
8972,4410.2093,0.3298,10.8725,2.5211,-2185.7906999999996
8973,4396.8953,0.3296,10.8789,2.5211,-2195.1047
8974,4396.8953,0.3296,10.8789,2.5211,-2195.1047
8975,4422.9494,0.33,10.8664,2.5204,-2177.0505999999996
8976,4422.9494,0.33,10.8664,2.5204,-2177.0505999999996
8977,4410.4869,0.3298,10.8724,2.5211,-2185.5131
8978,4410.4869,0.3298,10.8724,2.5211,-2185.5131
8979,4396.8498,0.3298,10.8789,2.5204,-2199.1502
8980,4396.8498,0.3298,10.8789,2.5204,-2199.1502
8981,4423.5705,0.3299,10.8661,2.5211,-2174.429500000001
8982,4423.5705,0.3299,10.8661,2.5211,-2174.429500000001
8983,4412.8725,0.3299,10.8712,2.5203,-2185.1275000000005
8984,4412.8725,0.3299,10.8712,2.5203,-2185.1275000000005
8985,4156.7315,0.3273,10.9979,2.5204,-2389.2685
8986,4156.7315,0.3273,10.9979,2.5204,-2389.2685
8987,4366.064,0.3294,10.8937,2.5204,-2221.9360000000006
8988,4366.064,0.3294,10.8937,2.5204,-2221.9360000000006
8989,4371.2569,0.3216,10.8934,2.5666,-2060.7430999999997
8990,4371.2569,0.3216,10.8934,2.5666,-2060.7430999999997
8991,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8992,5410.3373,0.4044,8.0018,2.5204,-2677.6627
8993,4396.8498,0.3298,10.8789,2.5204,-2199.1502
8994,4396.8498,0.3298,10.8789,2.5204,-2199.1502
8995,4364.0067,0.3294,10.8947,2.5203,-2223.993300000001
8996,4364.0067,0.3294,10.8947,2.5203,-2223.993300000001
8997,5410.3374,0.4044,8.0018,2.5204,-2677.6625999999997
8998,5410.3374,0.4044,8.0018,2.5204,-2677.6625999999997
8999,4366.6379,0.3295,10.8935,2.5203,-2223.3621000000003
