id,Resistance,Comfort,LWL,BWL
168,4459.43,0.26,10.87,3.0
169,4514.63,0.26,10.84,2.99
170,4514.63,0.26,10.84,2.99
171,6272.21,0.27,8.68,3.27
172,6272.21,0.27,8.68,3.27
173,5257.28,0.31,10.51,2.66
174,5257.28,0.31,10.51,2.66
175,5838.99,0.25,8.19,3.53
176,5838.99,0.25,8.19,3.53
177,6321.64,0.37,9.27,2.51
178,6321.64,0.37,9.27,2.51
179,5459.42,0.34,10.43,2.54
180,5459.42,0.34,10.43,2.54
181,5675.9,0.35,8.15,2.8
182,5675.9,0.35,8.15,2.8
183,6232.08,0.35,9.85,2.54
184,6232.08,0.35,9.85,2.54
185,5442.67,0.35,8.0,2.8
186,5442.67,0.35,8.0,2.8
187,4713.9,0.33,10.73,2.51
188,4713.9,0.33,10.73,2.51
189,4863.59,0.3,10.68,2.73
190,4863.59,0.3,10.68,2.73
191,6321.07,0.37,9.25,2.51
192,6321.07,0.37,9.25,2.51
193,5697.28,0.35,8.16,2.8
194,5697.28,0.35,8.16,2.8
195,5973.69,0.34,8.39,2.8
196,5973.69,0.34,8.39,2.8
197,6321.52,0.37,9.27,2.51
198,6321.52,0.37,9.27,2.51
199,5455.57,0.34,10.43,2.51
200,5455.57,0.34,10.43,2.51
201,6337.39,0.35,9.25,2.63
202,6337.39,0.35,9.25,2.63
203,4840.52,0.34,10.68,2.51
204,4840.52,0.34,10.68,2.51
205,6335.0,0.35,9.27,2.61
206,6335.0,0.35,9.27,2.61
207,4459.43,0.26,10.87,3.0
208,4459.43,0.26,10.87,3.0
209,6321.02,0.37,9.25,2.51
210,6321.02,0.37,9.25,2.51
211,4481.23,0.31,10.84,2.65
212,4481.23,0.31,10.84,2.65
213,5879.81,0.32,8.28,2.98
214,5879.81,0.32,8.28,2.98
215,5455.42,0.38,8.02,2.65
216,5455.42,0.38,8.02,2.65
217,4783.33,0.34,10.7,2.51
218,4783.33,0.34,10.7,2.51
219,5442.29,0.35,8.0,2.8
220,5442.29,0.35,8.0,2.8
221,4853.3,0.32,10.68,2.63
222,4853.3,0.32,10.68,2.63
223,5742.02,0.37,8.21,2.65
224,5742.02,0.37,8.21,2.65
225,4459.43,0.26,10.87,3.0
226,4459.43,0.26,10.87,3.0
227,4480.57,0.31,10.84,2.65
228,4480.57,0.31,10.84,2.65
229,5456.19,0.38,8.02,2.65
230,5456.19,0.38,8.02,2.65
231,4514.63,0.26,10.84,2.99
232,4514.63,0.26,10.84,2.99
233,4481.23,0.31,10.84,2.65
234,4481.23,0.31,10.84,2.65
235,4491.52,0.26,10.86,3.0
236,4491.52,0.26,10.86,3.0
237,5757.41,0.37,8.22,2.65
238,5757.41,0.37,8.22,2.65
239,5695.86,0.37,8.17,2.65
240,5695.86,0.37,8.17,2.65
241,4400.8,0.26,10.9,3.0
242,4400.8,0.26,10.9,3.0
243,4325.41,0.26,10.94,3.0
244,4325.41,0.26,10.94,3.0
245,5455.7,0.35,8.01,2.8
246,5455.7,0.35,8.01,2.8
247,4198.79,0.26,11.0,3.0
248,4198.79,0.26,11.0,3.0
249,5455.47,0.34,10.43,2.51
250,5455.47,0.34,10.43,2.51
251,5742.02,0.37,8.21,2.65
252,5742.02,0.37,8.21,2.65
253,5455.42,0.38,8.02,2.65
254,5455.42,0.38,8.02,2.65
255,4276.67,0.31,10.94,2.61
256,4276.67,0.31,10.94,2.61
257,4906.79,0.26,10.67,3.03
258,4906.79,0.26,10.67,3.03
259,5581.19,0.35,8.08,2.8
260,5581.19,0.35,8.08,2.8
261,4367.74,0.26,10.92,3.0
262,4367.74,0.26,10.92,3.0
263,5502.29,0.35,8.04,2.8
264,5502.29,0.35,8.04,2.8
265,4465.11,0.31,10.85,2.65
266,4465.11,0.31,10.85,2.65
267,5743.94,0.37,8.21,2.66
268,5743.94,0.37,8.21,2.66
269,4457.85,0.26,10.87,2.99
270,4457.85,0.26,10.87,2.99
271,5426.91,0.38,8.0,2.64
272,5426.91,0.38,8.0,2.64
273,5765.33,0.35,8.21,2.8
274,5765.33,0.35,8.21,2.8
275,4198.79,0.26,11.0,3.0
276,4198.79,0.26,11.0,3.0
277,5441.07,0.35,8.0,2.78
278,5441.07,0.35,8.0,2.78
279,4460.42,0.26,10.87,3.02
280,4460.42,0.26,10.87,3.02
281,5442.31,0.35,8.0,2.8
282,5442.31,0.35,8.0,2.8
283,5742.38,0.37,8.21,2.65
284,5742.38,0.37,8.21,2.65
285,5603.05,0.37,8.11,2.65
286,5603.05,0.37,8.11,2.65
287,5466.7,0.32,8.0,3.0
288,5466.7,0.32,8.0,3.0
289,4201.71,0.29,10.99,2.78
290,4201.71,0.29,10.99,2.78
291,4460.64,0.26,10.87,3.02
292,4460.64,0.26,10.87,3.02
293,5425.44,0.38,8.0,2.63
294,5425.44,0.38,8.0,2.63
295,5441.07,0.35,8.0,2.78
296,5441.07,0.35,8.0,2.78
297,5209.33,0.31,10.53,2.65
298,5209.33,0.31,10.53,2.65
299,5485.97,0.35,8.03,2.79
300,5485.97,0.35,8.03,2.79
301,4445.15,0.26,10.88,3.0
302,4445.15,0.26,10.88,3.0
303,4340.46,0.26,10.93,3.02
304,4340.46,0.26,10.93,3.02
305,5439.65,0.36,8.0,2.77
306,5439.65,0.36,8.0,2.77
307,4481.76,0.31,10.84,2.66
308,4481.76,0.31,10.84,2.66
309,5442.64,0.38,8.01,2.65
310,5442.64,0.38,8.01,2.65
311,4324.45,0.26,10.94,3.0
312,4324.45,0.26,10.94,3.0
313,4201.25,0.26,11.0,3.0
314,4201.25,0.26,11.0,3.0
315,5209.33,0.31,10.53,2.65
316,5209.33,0.31,10.53,2.65
317,4276.67,0.31,10.94,2.61
318,4276.67,0.31,10.94,2.61
319,4437.92,0.26,10.88,3.0
320,4437.92,0.26,10.88,3.0
321,5481.63,0.38,8.03,2.65
322,5481.63,0.38,8.03,2.65
323,5439.65,0.36,8.0,2.77
324,5439.65,0.36,8.0,2.77
325,4459.43,0.26,10.87,3.0
326,4459.43,0.26,10.87,3.0
327,4324.45,0.26,10.94,3.0
328,4324.45,0.26,10.94,3.0
329,5665.26,0.32,8.12,2.98
330,5665.26,0.32,8.12,2.98
331,4601.2,0.31,10.79,2.67
332,4601.2,0.31,10.79,2.67
333,4518.27,0.26,10.84,3.01
334,4518.27,0.26,10.84,3.01
335,4400.7,0.31,10.88,2.64
336,4400.7,0.31,10.88,2.64
337,4260.22,0.26,10.97,3.0
338,4260.22,0.26,10.97,3.0
339,5480.05,0.38,8.03,2.65
340,5480.05,0.38,8.03,2.65
341,4852.8,0.32,10.68,2.63
342,4852.8,0.32,10.68,2.63
343,4198.93,0.26,11.0,3.01
344,4198.93,0.26,11.0,3.01
345,4274.19,0.31,10.95,2.65
346,4274.19,0.31,10.95,2.65
347,5268.89,0.27,10.52,3.0
348,5268.89,0.27,10.52,3.0
349,5582.06,0.3,10.39,2.77
350,5582.06,0.3,10.39,2.77
351,5696.82,0.37,8.17,2.65
352,5696.82,0.37,8.17,2.65
353,5209.33,0.31,10.53,2.65
354,5209.33,0.31,10.53,2.65
355,4266.44,0.31,10.95,2.63
356,4266.44,0.31,10.95,2.63
357,4861.6,0.31,10.67,2.66
358,4861.6,0.31,10.67,2.66
359,4323.58,0.29,10.93,2.77
360,4323.58,0.29,10.93,2.77
361,5572.68,0.32,8.06,3.0
362,5572.68,0.32,8.06,3.0
363,5439.7,0.36,8.0,2.77
364,5439.7,0.36,8.0,2.77
365,4276.64,0.31,10.94,2.61
366,4276.64,0.31,10.94,2.61
367,4274.19,0.31,10.95,2.65
368,4274.19,0.31,10.95,2.65
369,4459.43,0.26,10.87,3.0
370,4459.43,0.26,10.87,3.0
371,5424.62,0.38,8.0,2.65
372,5424.62,0.38,8.0,2.65
373,5470.46,0.36,8.02,2.77
374,5470.46,0.36,8.02,2.77
375,4198.79,0.26,11.0,3.0
376,4198.79,0.26,11.0,3.0
377,4260.22,0.26,10.97,3.0
378,4260.22,0.26,10.97,3.0
379,5426.45,0.38,8.0,2.66
380,5426.45,0.38,8.0,2.66
381,5455.84,0.36,8.01,2.77
382,5455.84,0.36,8.01,2.77
383,5440.65,0.38,8.01,2.65
384,5440.65,0.38,8.01,2.65
385,4215.12,0.26,10.99,3.0
386,4215.12,0.26,10.99,3.0
387,4859.78,0.32,10.67,2.63
388,4859.78,0.32,10.67,2.63
389,4270.63,0.31,10.94,2.61
390,4270.63,0.31,10.94,2.61
391,5446.22,0.35,8.0,2.83
392,5446.22,0.35,8.0,2.83
393,4221.29,0.26,10.99,3.0
394,4221.29,0.26,10.99,3.0
395,5442.47,0.38,8.01,2.65
396,5442.47,0.38,8.01,2.65
397,4248.65,0.31,10.96,2.65
398,4248.65,0.31,10.96,2.65
399,5457.28,0.38,8.02,2.65
400,5457.28,0.38,8.02,2.65
401,4266.44,0.31,10.95,2.63
402,4266.44,0.31,10.95,2.63
403,5455.42,0.38,8.02,2.65
404,5455.42,0.38,8.02,2.65
405,4236.29,0.31,10.96,2.63
406,4236.29,0.31,10.96,2.63
407,4867.37,0.31,10.67,2.65
408,4867.37,0.31,10.67,2.65
409,4855.94,0.31,10.68,2.66
410,4855.94,0.31,10.68,2.66
411,5422.95,0.38,8.0,2.63
412,5422.95,0.38,8.0,2.63
413,4202.25,0.26,11.0,3.02
414,4202.25,0.26,11.0,3.02
415,4274.51,0.32,10.94,2.6
416,4274.51,0.32,10.94,2.6
417,4236.29,0.31,10.96,2.63
418,4236.29,0.31,10.96,2.63
419,4198.79,0.26,11.0,3.0
420,4198.79,0.26,11.0,3.0
421,4887.56,0.26,10.68,3.0
422,4887.56,0.26,10.68,3.0
423,4176.94,0.31,10.99,2.63
424,4176.94,0.31,10.99,2.63
425,4236.29,0.31,10.96,2.63
426,4236.29,0.31,10.96,2.63
427,5424.62,0.38,8.0,2.65
428,5424.62,0.38,8.0,2.65
429,5532.05,0.38,8.07,2.64
430,5532.05,0.38,8.07,2.64
431,4340.44,0.31,10.91,2.63
432,4340.44,0.31,10.91,2.63
433,4236.29,0.31,10.96,2.63
434,4236.29,0.31,10.96,2.63
435,4266.44,0.31,10.95,2.63
436,4266.44,0.31,10.95,2.63
437,4202.25,0.26,11.0,3.02
438,4202.25,0.26,11.0,3.02
439,4266.44,0.31,10.95,2.63
440,4266.44,0.31,10.95,2.63
441,4301.78,0.26,10.95,3.0
442,4301.78,0.26,10.95,3.0
443,4164.06,0.31,11.0,2.63
444,4164.06,0.31,11.0,2.63
445,4894.27,0.26,10.68,3.03
446,4894.27,0.26,10.68,3.03
447,4161.5,0.31,11.0,2.61
448,4161.5,0.31,11.0,2.61
449,4231.1,0.31,10.97,2.63
450,4231.1,0.31,10.97,2.63
451,4236.29,0.31,10.96,2.63
452,4236.29,0.31,10.96,2.63
453,5426.91,0.38,8.0,2.64
454,5426.91,0.38,8.0,2.64
455,5424.62,0.38,8.0,2.65
456,5424.62,0.38,8.0,2.65
457,4236.29,0.31,10.96,2.63
458,4236.29,0.31,10.96,2.63
459,4228.86,0.31,10.97,2.63
460,4228.86,0.31,10.97,2.63
461,4268.7,0.31,10.95,2.63
462,4268.7,0.31,10.95,2.63
463,4198.42,0.26,11.0,3.0
464,4198.42,0.26,11.0,3.0
465,4198.79,0.26,11.0,3.0
466,4198.79,0.26,11.0,3.0
467,4276.67,0.31,10.94,2.61
468,4276.67,0.31,10.94,2.61
469,5466.79,0.38,8.03,2.64
