id,Resistance,Rv,Ri,Rr,Rincli,Comfort,LWL,BWL,Draft,Displacement,AWP,LCB,LCF,best,constraint1,constraint2,constraint3,constraint4,constraint5,valid
36,1891.6881,228.2637,279.2780,1366.1979,17.9485,0.2589,10.6324,2.1629,0.6917,5.0440,15.8891,4.9660,4.3795,-3286.3119,False,False,False,False,False,True
37,2621.3909,267.8966,267.6792,2056.2752,29.5399,0.2253,10.2484,2.9733,0.6543,6.5352,20.8709,4.2271,4.3702,-1884.6091,False,False,False,False,False,True
38,2621.3909,267.8966,267.6792,2056.2752,29.5399,0.2253,10.2484,2.9733,0.6543,6.5352,20.8709,4.2271,4.3702,-1884.6091,False,False,False,False,False,True
39,2297.0846,294.3894,289.8913,1684.5625,28.2414,0.1898,10.6501,3.3486,0.4916,6.6202,24.2849,4.2677,4.3156,-1498.9154,False,False,False,False,False,True
40,2297.0846,294.3894,289.8913,1684.5625,28.2414,0.1898,10.6501,3.3486,0.4916,6.6202,24.2849,4.2677,4.3156,-1498.9154,False,False,False,False,False,True
41,1745.0767,255.7921,287.9896,1183.8033,17.4917,0.2374,10.9077,2.5012,0.5541,5.7110,18.5782,4.2677,4.3155,-3002.9233,False,False,False,False,False,True
42,1745.0767,255.7921,287.9896,1183.8033,17.4917,0.2374,10.9077,2.5012,0.5541,5.7110,18.5782,4.2677,4.3155,-3002.9233,False,False,False,False,False,True
43,2960.7085,269.2983,264.3355,2396.5518,30.5228,0.2292,10.0627,2.9746,0.6920,6.5688,20.5010,4.9895,4.3795,-1623.2915,False,False,False,False,False,True
44,2960.7085,269.2983,264.3355,2396.5518,30.5228,0.2292,10.0627,2.9746,0.6920,6.5688,20.5010,4.9895,4.3795,-1623.2915,False,False,False,False,False,True
45,3704.6381,332.7889,282.8245,3049.4350,39.5896,0.2662,10.6823,3.3560,0.7225,9.3338,25.1626,4.9731,4.5362,-1619.3619,False,False,False,False,False,True
46,3704.6381,332.7889,282.8245,3049.4350,39.5896,0.2662,10.6823,3.3560,0.7225,9.3338,25.1626,4.9731,4.5362,-1619.3619,False,False,False,False,False,True
47,1695.0932,244.4125,290.8303,1142.5486,17.3019,0.2081,10.6846,2.5396,0.4916,5.0370,18.4776,4.2677,4.3155,-2466.9068,False,False,False,False,False,True
48,1695.0932,244.4125,290.8303,1142.5486,17.3019,0.2081,10.6846,2.5396,0.4916,5.0370,18.4776,4.2677,4.3155,-2466.9068,False,False,False,False,False,True
49,2378.2131,309.0480,287.0789,1754.0084,28.0779,0.2162,10.8732,3.3102,0.5541,7.5344,24.5092,4.2677,4.3156,-1945.7869,False,False,False,False,False,True
50,2378.2131,309.0480,287.0789,1754.0084,28.0779,0.2162,10.8732,3.3102,0.5541,7.5344,24.5092,4.2677,4.3156,-1945.7869,False,False,False,False,False,True
51,1787.6984,240.9361,282.5563,1248.5089,15.6970,0.2919,10.8296,2.0104,0.6306,5.2253,15.0266,4.9467,4.1545,-4050.3016,True,False,False,False,False,False
52,1787.6984,240.9361,282.5563,1248.5089,15.6970,0.2919,10.8296,2.0104,0.6306,5.2253,15.0266,4.9467,4.1545,-4050.3016,True,False,False,False,False,False
53,2637.0321,323.5953,283.2649,1999.7785,30.3935,0.2798,10.8093,2.9896,0.6796,8.4807,22.6584,4.2375,4.0468,-2958.9679,False,False,False,False,False,True
54,2637.0321,323.5953,283.2649,1999.7785,30.3935,0.2798,10.8093,2.9896,0.6796,8.4807,22.6584,4.2375,4.0468,-2958.9679,False,False,False,False,False,True
55,2690.3021,284.8952,279.6878,2096.7544,28.9647,0.2323,10.6480,3.0081,0.6917,7.0254,22.1055,4.9895,4.1529,-1955.6979,False,False,False,False,False,True
56,2690.3021,284.8952,279.6878,2096.7544,28.9647,0.2323,10.6480,3.0081,0.6917,7.0254,22.1055,4.9895,4.1529,-1955.6979,False,False,False,False,False,True
57,1948.7085,246.2186,283.2536,1401.9475,17.2887,0.3145,10.8094,2.0054,0.6793,5.6038,14.8482,4.9572,4.3820,-4341.2915,True,False,False,False,False,False
58,1948.7085,246.2186,283.2536,1401.9475,17.2887,0.3145,10.8094,2.0054,0.6793,5.6038,14.8482,4.9572,4.3820,-4341.2915,True,False,False,False,False,False
59,1327.8031,200.9356,291.0485,825.0120,10.8070,0.1931,10.6759,2.0400,0.4893,3.4899,15.2910,4.8059,4.6767,-2534.1969,True,False,False,False,False,False
60,1327.8031,200.9356,291.0485,825.0120,10.8070,0.1931,10.6759,2.0400,0.4893,3.4899,15.2910,4.8059,4.6767,-2534.1969,True,False,False,False,False,False
